date,latitude,longitude,tp
2022-07-06,31.5,73.0,0.010218663
2021-11-26,17.5,90.75,0.0002495423
2022-09-17,9.75,94.5,5.6225806e-05
2024-02-24,14.0,70.0,-1.8626451e-09
2020-02-12,15.0,80.25,-1.8626451e-09
2024-02-02,25.0,85.75,-1.8626451e-09
2020-08-29,12.0,74.0,6.380677e-05
2022-09-15,28.5,80.0,0.0005540494
2021-10-06,33.0,91.25,1.6424805e-05
2021-10-06,30.75,80.0,1.2628734e-06
2024-05-13,14.25,79.0,-1.8626451e-09
2020-01-20,20.5,75.5,-1.8626451e-09
2021-05-30,18.25,85.0,1.8943101e-06
2021-09-02,13.5,77.5,1.2628734e-06
2021-09-05,22.75,95.0,-1.8626451e-09
2023-03-10,10.75,82.5,7.579103e-06
2020-01-31,14.75,75.75,-1.8626451e-09
2021-02-11,24.75,74.25,-1.8626451e-09
2022-11-27,19.5,92.25,5.8120117e-05
2020-07-06,29.75,91.25,3.7886202e-06
2022-10-22,35.75,73.75,-1.8626451e-09
2023-05-03,8.5,96.0,0.00024701655
2022-09-22,12.25,74.75,0.00014909357
2021-08-30,20.75,92.25,1.8950552e-05
2020-08-03,18.75,71.0,0.000487715
2020-03-10,17.75,72.5,-1.8626451e-09
2022-12-06,28.5,69.75,-1.8626451e-09
2020-09-09,10.25,79.0,0.0032598637
2020-01-21,23.5,92.0,1.8943101e-06
2022-05-01,31.75,93.5,-1.8626451e-09
2022-03-11,22.0,72.25,-1.8626451e-09
2022-03-05,31.25,81.25,-1.8626451e-09
2022-09-26,24.0,87.75,-1.8626451e-09
2021-08-04,36.75,92.25,1.4528632e-05
2023-12-01,18.25,95.75,-1.8626451e-09
2021-05-25,8.75,97.0,0.00047508068
2023-04-05,20.75,87.5,-1.8626451e-09
2021-05-06,26.5,80.5,-1.8626451e-09
2022-07-18,22.75,81.5,0.00013077259
2020-05-05,29.0,81.75,-1.8626451e-09
2022-11-28,36.75,82.5,-1.8626451e-09
2021-08-10,30.25,86.75,-1.8626451e-09
2021-10-31,16.25,68.75,-1.8626451e-09
2022-07-23,22.25,93.25,9.539351e-05
2022-10-17,9.5,80.75,0.00010739826
2021-01-10,23.0,80.75,-1.8626451e-09
2023-09-02,30.25,89.25,-1.8626451e-09
